그룹,우선순위,체크,material_id,카테고리,서브카테고리,브랜드,제품명,installer_spec,등급,work_type,단가(원),image_url (이걸 채우세요),비고
A,높음,☐,MAT-FL-001,마루,강마루,구정마루,구정강,구정마루 구정강 9.4×800×7.5T,가성비,flooring,34000,,
A,높음,☐,MAT-FL-005,마루,강마루,구정마루,그랜드텍스처165,구정마루 그랜드텍스처 165 165×1200×7.5T,표준,flooring,46000,,
A,높음,☐,MAT-FL-009,마루,강마루,동화자연마루,더원,동화자연마루 더원 165×1200×7.5T,표준,flooring,56000,,
A,높음,☐,MAT-FL-010,마루,강마루,LX하우시스,에디톤180,LX하우시스 에디톤 180×1220×5.0T,고급,flooring,77000,,
A,높음,☐,MAT-FL-011,마루,강마루,구정마루,헤링본,구정마루 헤링본 9.4×600×7.5T,고급,flooring,76000,,
A,높음,☐,MAT-FL-004,마루,강화마루,동화자연마루,나투스진,동화자연마루 나투스진 8.0T,가성비,flooring,35000,,
A,높음,☐,MAT-FL-008,마루,강화마루,LX하우시스,헤링본,LX하우시스 강화 헤링본,표준,flooring,55000,,
A,높음,☐,MAT-FL-007,마루,강화마루,구정마루,강화시리즈,구정마루 강화 12T,표준,flooring,42000,,
A,높음,☐,MAT-FL-013,마루,원목마루,구정마루,원목광폭,구정마루 원목 200폭,고급,flooring,108000,,
A,높음,☐,MAT-FL-012,마루,원목마루,이건마루,골드,이건마루 골드 14×120×900,고급,flooring,91000,,
A,높음,☐,MAT-FL-002,마루,장판,LX하우시스,지인,LX 지인 8.0T,가성비,flooring,24000,,
A,높음,☐,MAT-FL-003,마루,장판,한화L&C,한샘프리미엄,한화L&C 한샘프리미엄 8.0T,가성비,flooring,27000,,
A,높음,☐,MAT-FL-006,마루,장판,녹수,펠리체,녹수 펠리체 9.0T,표준,flooring,36000,,
A,높음,☐,MAT-BY-001,도배,무걸레받이,현장시공,무걸레도배,무걸레받이 선택 시 도배 인건비 추가 (공급면적 ㎡당),가성비,baseboard_wallpaper,5000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-BY-002,도배,무걸레받이,현장시공,무걸레도배,무걸레받이 선택 시 도배 인건비 추가 (공급면적 ㎡당),표준,baseboard_wallpaper,5000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-BY-003,도배,무걸레받이,현장시공,무걸레도배,무걸레받이 선택 시 도배 인건비 추가 (공급면적 ㎡당),고급,baseboard_wallpaper,5000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-NL-002,도배,무문선 도배 추가비,현장시공,무문선 마감 도배,무문선 도어 주변 도배 정밀 마감.,단일등급,door_replacement,50000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-WP-003,도배,수성도장,삼화페인트,수성페인트,수성페인트 일반급 2회,가성비,wallpaper,8500,,
A,높음,☐,MAT-WP-004,도배,실크,LX하우시스,베스띠,LX하우시스 베스띠,표준,wallpaper,12500,,
A,높음,☐,MAT-WP-006,도배,실크,LX하우시스,베스띠광폭,LX하우시스 베스띠 광폭,표준,wallpaper,14500,,
A,높음,☐,MAT-WP-008,도배,실크,개나리벽지,패턴실크,개나리벽지 패턴실크,표준,wallpaper,17500,,
A,높음,☐,MAT-WP-007,도배,실크,디아이디,항균실크,디아이디 항균실크,표준,wallpaper,15000,,
A,높음,☐,MAT-WP-009,도배,실크,LX하우시스,디아망,LX하우시스 디아망,고급,wallpaper,18000,,
A,높음,☐,MAT-WP-010,도배,실크,디아이디,프리미엄실크,디아이디 프리미엄실크,고급,wallpaper,27500,,
A,높음,☐,MAT-WP-001,도배,합지,개나리벽지,광폭합지,개나리벽지 광폭합지,가성비,wallpaper,7700,,
A,높음,☐,MAT-WP-002,도배,합지,개나리벽지,일반합지,개나리벽지 일반합지,가성비,wallpaper,7500,,
A,높음,☐,MAT-WP-005,도배,합지,LX하우시스,친환경합지,LX하우시스 친환경합지,표준,wallpaper,8500,,
A,높음,☐,MAT-TL-001,타일,1팀(2명)/일,현장시공,코너비드팀,타일 시공 1팀(타일러+데모도 2인) 1일 — 코너비드 일반 시공,가성비,tile_labor,500000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-TL-002,타일,1팀(2명)/일,현장시공,졸리컷팀,타일 시공 1팀(타일러+데모도 2인) 1일 — 졸리컷 정밀 시공,표준,tile_labor,550000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-TL-003,타일,1팀(2명)/일,현장시공,졸리컷광택팀,타일 시공 1팀(타일러+데모도 2인) 1일 — 졸리컷+광택 마감 정밀,고급,tile_labor,600000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-BT-001,타일,300×600각,포스코타일,300x600,"300×600각 욕실 타일 (자재만, 인건비는 통합 타일팀)",가성비,bath_tile,12000,,
A,높음,☐,MAT-VT-001,타일,300각,중국수입,300각중국,"300×300각 중국산 포세린 (자재만, 시공은 통합 타일팀)",가성비,balcony_floor_tile,8000,,
A,높음,☐,MAT-VT-002,타일,600각,중국수입,600각중국,"600×600각 중국산 포세린 (자재만, 시공은 통합 타일팀)",표준,balcony_floor_tile,15000,,
A,높음,☐,MAT-BT-002,타일,600각,포세린,600,"600×600각 포세린 타일 (자재만, 인건비는 통합 타일팀)",표준,bath_tile,30000,,
A,높음,☐,MAT-VT-003,타일,600각,이태리수입,600각이태리,"600×600각 이태리 수입 포세린 (자재만, 시공은 통합 타일팀)",고급,balcony_floor_tile,35000,,
A,높음,☐,MAT-BT-003,타일,900각,포세린,900,"900×900각 포세린 대형 타일 (자재만, 인건비는 통합 타일팀)",고급,bath_tile,42000,,
A,높음,☐,MAT-BU-001,타일,백시멘트,현장시공,백시멘트,일반 백시멘트 줄눈 자재 (시공은 타일팀),가성비,bath_grout,1500,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-BU-002,타일,아덱스FG4,아덱스,FG4,아덱스 FG4 시멘트계 줄눈 자재 (시공은 타일팀),표준,bath_grout,4000,,
A,높음,☐,MAT-BJ-001,타일,인조대리석,사제,인조일반,인조대리석 일반 (욕실 젠다이),가성비,bath_jendai,260000,,
A,높음,☐,MAT-BJ-002,타일,인조대리석,사제,인조광택,인조대리석 광택 (욕실 젠다이),표준,bath_jendai,380000,,
A,높음,☐,MAT-BZ-002,타일,졸리컷,현장시공,졸리컷,"졸리컷 정밀 마감 (둘레 m, 인건비는 통합 타일팀에 포함)",표준,bath_tile_method,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-BZ-003,타일,졸리컷+,현장시공,졸리컷광택,"졸리컷+광택 마감 (둘레 m, 인건비는 통합 타일팀에 포함)",고급,bath_tile_method,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-BJ-003,타일,천연석,사제,천연석,천연석 카운터 (욕실 젠다이),고급,bath_jendai,730000,,
A,높음,☐,MAT-BU-003,타일,케라폭시,MAPEI,Kerapoxy,MAPEI Kerapoxy 에폭시 줄눈 자재 (시공은 타일팀),고급,bath_grout,30000,,
A,높음,☐,MAT-BZ-001,타일,코너비드,현장시공,코너비드,"코너비드 마감 (둘레 m, 인건비는 통합 타일팀에 포함)",가성비,bath_tile_method,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-KM-001,타일,타일,중국수입,600중국,"600각 중국산 타일 백패널 (자재만, 인건비는 통합 타일팀)",가성비,kitchen_midway,35000,,
A,높음,☐,MAT-KM-002,타일,타일,중국수입,800중국,"800각 중국산 타일 백패널 (자재만, 인건비는 통합 타일팀)",표준,kitchen_midway,60000,,
A,높음,☐,MAT-KM-003,타일,타일,이태리수입,800이태리,"800각 이태리 수입 타일 백패널 (자재만, 인건비는 통합 타일팀)",고급,kitchen_midway,120000,,
A,높음,☐,MAT-BG-001,욕실,SMC,사제,SMC,SMC 욕실 천정 마감 + 단열·방수 (자재만),가성비,bath_ceiling,50000,,
A,높음,☐,MAT-BR-001,욕실,대림,대림,일반,"대림 일반 수전 (세면+샤워, 자재만)",가성비,bath_faucet,95000,,
A,높음,☐,MAT-BL-001,욕실,대림,대림,베이직,대림 베이직 양변기 (자재만),가성비,bath_toilet,280000,,
A,높음,☐,MAT-BA-001,욕실,대림급,대림,대림표준,"대림 OR 이누스급 set (수건걸이+변기솔+청소수전, 자재만)",가성비,bath_accessory,110000,,
A,높음,☐,MAT-BS-002,욕실,대림바스,대림바스,마디스,대림바스 마디스 세면대 + 거울 (자재만),표준,bath_basin,650000,,
A,높음,☐,MAT-BA-002,욕실,비브랜드,국산,비브랜드,"국산 비브랜드 set (수건걸이+변기솔+청소수전, 자재만)",가성비,bath_accessory,50000,,
A,높음,☐,MAT-BG-003,욕실,석고도장,현장시공,석고도장,석고보드위 도장 + 단열·방수 보강 (자재만),고급,bath_ceiling,110000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-BA-004,욕실,수입최고급,그로헤,수입최고급,"그로헤·한스그로헤급 수입 최고급 set (수건걸이+변기솔+청소수전, 자재만)",고급,bath_accessory,580000,,
A,높음,☐,MAT-BA-003,욕실,아메리칸,아메리칸스탠다드,아메리칸set,"아메리칸스탠다드급 set (수건걸이+변기솔+청소수전, 자재만)",표준,bath_accessory,260000,,
A,높음,☐,MAT-BS-003,욕실,아메리칸,아메리칸스탠다드,프리미엄,아메리칸스탠다드 세면대 + 거울 (자재만),고급,bath_basin,850000,,
A,높음,☐,MAT-BR-003,욕실,아메리칸,아메리칸스탠다드,프리미엄,아메리칸스탠다드 수전 세트 (자재만),고급,bath_faucet,380000,,
A,높음,☐,MAT-BL-003,욕실,아메리칸,아메리칸스탠다드,프리미엄,아메리칸스탠다드 양변기 (자재만),고급,bath_toilet,850000,,
A,높음,☐,MAT-BG-002,욕실,이노솔,사제,이노솔,이노솔 욕실 천정 마감 + 단열·방수 (자재만),표준,bath_ceiling,75000,,
A,높음,☐,MAT-BS-001,욕실,이누스,이누스,베이직,이누스 베이직 세면대 + 거울 (자재만),가성비,bath_basin,280000,,
A,높음,☐,MAT-BR-002,욕실,이누스,이누스,표준,"이누스 표준 수전 세트 (세면+샤워, 자재만)",표준,bath_faucet,250000,,
A,높음,☐,MAT-BL-002,욕실,이누스,이누스,표준,이누스 표준 양변기 (자재만),표준,bath_toilet,610000,,
A,높음,☐,MAT-BI-001,욕실,표준,현장시공,욕실설치,욕실 1개소 설치 인건비 (수전·양변기·세면대·악세사리·SMC 등 통합),가성비,bath_install,300000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-BI-002,욕실,표준,현장시공,욕실설치,욕실 1개소 설치 인건비 (수전·양변기·세면대·악세사리·SMC 등 통합),표준,bath_install,300000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-BI-003,욕실,표준,현장시공,욕실설치,욕실 1개소 설치 인건비 (수전·양변기·세면대·악세사리·SMC 등 통합),고급,bath_install,300000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-KH-001,주방가구,국산,국산,일반,국산 일반 경첩2+손잡이1+레일 (논댐핑),가성비,kitchen_hardware,17000,,
A,높음,☐,MAT-KH-002,주방가구,국산,국산,댐핑,국산 댐핑 경첩2+손잡이1+레일,표준,kitchen_hardware,31000,,
A,높음,☐,MAT-KO-002,주방가구,노출,하츠,Classic,하츠(Haatz) Classic 노출형 표준 후드 (자재만),표준,kitchen_hood,400000,,
A,높음,☐,MAT-KS-001,주방가구,백조,백조싱크,SBN845,백조싱크 SBN-845 STS304 단조 일반형 (자재만),가성비,kitchen_sink,200000,,
A,높음,☐,MAT-KS-002,주방가구,백조,백조싱크,RA7848,백조싱크 라피네 RA-7848 프리미엄 (자재만),표준,kitchen_sink,450000,,
A,높음,☐,MAT-KH-003,주방가구,블럼,Blum,클립톱,Blum 클립톱2+손잡이1+탠덤박스,고급,kitchen_hardware,85000,,
A,높음,☐,MAT-KP-004,주방가구,세라믹,Laminam,세라믹이태리,이태리 수입 세라믹 슬라브 (Laminam·Neolith급) 상판,고급,kitchen_top,1150000,,
A,높음,☐,MAT-KS-003,주방가구,수입급,Blanco,SUBLINE500,블랑코(Blanco) SUBLINE 500-U 언더마운트 수입 (자재만),고급,kitchen_sink,1200000,,
A,높음,☐,MAT-KO-003,주방가구,수입급,휘슬러,SilentEdition,휘슬러(Fissler) SilentEdition 노출형 프리미엄 후드 (자재만),고급,kitchen_hood,1000000,,
A,높음,☐,MAT-KP-003,주방가구,엔지니어드,Caesarstone,칸스톤,칸스톤(Caesarstone) 엔지니어드 스톤 상판 — 추천,고급,kitchen_top,600000,,
A,높음,☐,MAT-KP-001,주방가구,인조대리석,LX하이막스,하이막스,인조대리석 하이막스급 (가성비),가성비,kitchen_top,380000,,
A,높음,☐,MAT-KP-002,주방가구,인조대리석,LX하이막스,하이막스표준,인조대리석 하이막스 상위급 (표준),표준,kitchen_top,480000,,
A,높음,☐,MAT-KT-001,주방가구,주방가구 세트,현장시공,사제 제작,"몸체: E1 MDF LPM, 도어: 영림급 PET보드 + PUR 엣지 마감",가성비,kitchen_furniture,1150000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-KT-002,주방가구,주방가구 세트,현장시공,사제 제작,"몸체: E0 MDF LPM(친환경), 도어: 한솔 스토리보드 + 제로조인트 마감",표준,kitchen_furniture,1700000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-KT-003,주방가구,주방가구 세트,한샘,유로900급,"몸체: E0 MDF LPM(친환경), 도어: 한샘 유로900 MDF 우레탄 도장",고급,kitchen_furniture,2100000,,
A,높음,☐,MAT-KO-001,주방가구,히든,하츠,ABL300,하츠(Haatz) ABL-300 상부장 매립 히든형 후드 (자재만),가성비,kitchen_hood,200000,,
A,높음,☐,MAT-LD-001,조명,2인치,비브랜드,2인치일반,일반 2인치 LED 다운라이트 (가성비),가성비,lighting_downlight,8000,,
A,높음,☐,MAT-LD-002,조명,2인치,필립스,2인치표준,표준 2인치 LED 다운라이트 (필립스급),표준,lighting_downlight,12000,,
A,높음,☐,MAT-LD-003,조명,2인치,오스람,2인치디자인,디자인 2인치 LED 다운라이트 (오스람·디자인급),고급,lighting_downlight,18000,,
A,높음,☐,MAT-LV-001,조명,간접,현장시공,거실간접_가성비,가성비 등급에서는 미적용,가성비,lighting_indirect_living,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LH-001,조명,간접,현장시공,욕실간접_가성비,가성비 등급에서는 미적용,가성비,lighting_indirect_bath,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LV-002,조명,간접,현장시공,거실간접,거실 천정·코니스 LED 간접조명 (자재+인건비),표준,lighting_indirect_living,500000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LH-002,조명,간접,현장시공,욕실간접,욕실당 LED 간접조명 (자재+인건비),표준,lighting_indirect_bath,150000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LV-003,조명,간접,현장시공,거실간접고급,거실 천정·코니스 LED 간접조명 (자재+인건비),고급,lighting_indirect_living,500000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LH-003,조명,간접,현장시공,욕실간접고급,욕실당 LED 간접조명 (자재+인건비),고급,lighting_indirect_bath,150000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LE-001,조명,마그네틱,현장시공,거실마그네틱_가성비,가성비/표준에서는 미적용,가성비,lighting_magnetic_living,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LF-001,조명,마그네틱,현장시공,주방마그네틱_가성비,가성비/표준에서는 미적용,가성비,lighting_magnetic_kitchen,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LE-002,조명,마그네틱,현장시공,거실마그네틱_표준,가성비/표준에서는 미적용,표준,lighting_magnetic_living,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LF-002,조명,마그네틱,현장시공,주방마그네틱_표준,가성비/표준에서는 미적용,표준,lighting_magnetic_kitchen,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LE-003,조명,마그네틱,현장시공,거실마그네틱,거실 마그네틱 라인조명 (자재+인건비+목공비),고급,lighting_magnetic_living,1000000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-LF-003,조명,마그네틱,현장시공,주방마그네틱,주방 마그네틱 라인조명 (자재+인건비+목공비),고급,lighting_magnetic_kitchen,500000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-DO-001,도어,문짝 교체,현장시공,문짝 단독 (가성비),기존 문틀 유지 + 문짝만 교체. 멤브레인 도어.,가성비,door_replacement,220000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-DO-002,도어,문짝 교체,현장시공,문짝 단독 (표준),기존 문틀 유지 + 문짝 교체. PET 시트 도어.,표준,door_replacement,300000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-DO-003,도어,문짝 교체,현장시공,문짝 단독 (고급),기존 문틀 유지 + 문짝 교체. 우레탄 도장 도어.,고급,door_replacement,420000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-DR-001,도어,문틀 교체,현장시공,12mm 일반 문선,MDF 멤브레인 + 12mm 일반 문선.,가성비,door_replacement,450000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-DR-002,도어,문틀 교체,현장시공,9mm 슬림 문선,MDF 멤브레인 + 9mm 슬림 문선.,표준,door_replacement,550000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-DR-003,도어,문틀 교체,현장시공,무문선 (히든),무문선 매입형 문틀 + 평면 도어.,고급,door_replacement,700000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
A,높음,☐,MAT-SD-005,중문,고급,영림,알루슬라이딩,영림 알루미늄 슬라이딩,고급,sliding_door,3450000,,
A,높음,☐,MAT-SD-001,중문,보급,영림,보급3연동,영림 보급형 3연동,가성비,sliding_door,1270000,,
A,높음,☐,MAT-SD-002,중문,보급,예림,보급양개,예림 양개 보급형,가성비,sliding_door,1480000,,
A,높음,☐,MAT-SD-003,중문,표준,영림,시그니처3연동,영림 시그니처 3연동,표준,sliding_door,2130000,,
A,높음,☐,MAT-SD-004,중문,표준,예림,한지3연동,예림 한지 3연동,표준,sliding_door,2470000,,
A,높음,☐,MAT-CL-003,일반가구,리바트,리바트,시스템PET,리바트 시스템 옷장 PET,표준,closet,1230000,,
A,높음,☐,MAT-CL-001,일반가구,사제,사제,사제LPM,사제 슬라이딩 LPM 도어,가성비,closet,660000,,
A,높음,☐,MAT-CL-002,일반가구,한샘,한샘,슬라이딩LPM,한샘 슬라이딩 LPM (2.4m),표준,closet,940000,,
A,높음,☐,MAT-CL-004,일반가구,한샘,한샘,시그니처우레탄,한샘 시그니처 우레탄 도장,고급,closet,1830000,,
A,높음,☐,MAT-GF-001,일반가구,현관장,비브랜드,일반현관장,비브랜드 일반 현관장,가성비,general_furniture,660000,,
A,높음,☐,MAT-GF-002,일반가구,현관장,한샘,신발키큰장,한샘 신발장+키큰장 풀세트,표준,general_furniture,1530000,,
A,높음,☐,MAT-GF-003,일반가구,현관장,한샘,일반현관장,한샘 일반 현관장,표준,general_furniture,1070000,,
A,높음,☐,MAT-GF-005,일반가구,현관장,한샘,시그니처현관,한샘 시그니처 현관장,고급,general_furniture,2620000,,
A,높음,☐,MAT-AO-003,에어컨,고급,삼성,인버터멀티,삼성 인버터 멀티 실외기 6룸 대응,고급,aircon_outdoor,2880000,,
A,높음,☐,MAT-AC-001,에어컨,벽걸이,LG,휘센6평,LG 휘센 벽걸이 6평형,가성비,aircon,1130000,,
A,높음,☐,MAT-AO-001,에어컨,보급,LG,보급멀티,LG 보급형 멀티 실외기 4룸 대응,가성비,aircon_outdoor,1450000,,
A,높음,☐,MAT-AC-002,에어컨,천장형,삼성,무풍1Way,삼성 무풍 1Way,표준,aircon,2200000,,
A,높음,☐,MAT-AC-003,에어컨,천장형,LG,휘센4Way,LG 휘센 천장형 4Way,고급,aircon,2900000,,
A,높음,☐,MAT-AO-002,에어컨,표준,LG,휘센멀티,LG 휘센 멀티 실외기 5룸 대응,표준,aircon_outdoor,2120000,,
A,높음,☐,MAT-CF-003,실링팬,디자인,수입 고급,에어라트론,AE3 126cm,고급,ceiling_fan,1130000,,
A,높음,☐,MAT-CF-002,실링팬,브랜드,수입 일반,루씨에어,레이더3 132cm,표준,ceiling_fan,730000,,
A,높음,☐,MAT-CF-001,실링팬,일반,비브랜드,일반실링,sove ver2 132cm,가성비,ceiling_fan,300000,,
A,높음,☐,MAT-WD-001,창호,PVC,KCC창호,PVC이중창가성비,KCC창호 PVC 이중창 (단열재 50T + 사다리차·부대비 포함),가성비,window,225000,,
A,높음,☐,MAT-WD-002,창호,PVC,LX하우시스,수퍼세이브,LX하우시스 수퍼세이브 이중창 (단열재 50T + 사다리차·부대비 포함),표준,window,290000,,
A,높음,☐,MAT-WD-003,창호,PVC,LX하우시스,SLS460,LX하우시스 SLS-460 시스템 (단열재 70T + 사다리차·부대비 포함),표준,window,345000,,
A,높음,☐,MAT-WD-004,창호,알루미늄,이건창호,EAGON,이건창호 EAGON 시스템 (단열재 70T + 외벽 단열 보강 + 사다리차·부대비 포함),고급,window,370000,,
A,높음,☐,MAT-TD-001,창호,터닝도어,KCC창호,LiV Suite,KCC창호 LiV Suite 시스템 터닝도어. 슬라이딩+여닫이 복합 구조. 16mm 복층유리.,가성비,window,1200000,,
A,높음,☐,MAT-TD-002,창호,터닝도어,LX하우시스,LSS-30 (일반),"LX하우시스 LSS-30. 24mm 로이복층유리, 알루미늄 프레임.",표준,window,1800000,,
A,높음,☐,MAT-TD-003,창호,터닝도어,LX하우시스,PRESTIGE,"LX PRESTIGE. 28mm 트리플 로이유리, 강화 단열 알루미늄 프레임.",고급,window,2800000,,
B,보통,☐,MAT-MD-004,몰딩,MDF,대성,MDF평몰딩,대성 MDF 평몰딩,표준,molding,14300,,
B,보통,☐,MAT-MD-005,몰딩,MDF,영림,MDF슬림,영림 MDF 슬림 도장,표준,molding,16700,,
B,보통,☐,MAT-MD-001,몰딩,PVC,비브랜드,표준PVC,PVC 평몰딩 표준,가성비,molding,6200,,
B,보통,☐,MAT-MD-002,몰딩,PVC,비브랜드,슬림PVC,PVC 슬림 평몰딩,가성비,molding,8600,,
B,보통,☐,MAT-MD-003,몰딩,PVC,영림,각몰딩,영림 PVC 각몰딩,가성비,molding,11000,,
B,보통,☐,MAT-MD-007,몰딩,마이너스,히든몰딩,마이너스,히든몰딩 마이너스,고급,molding,30500,,
B,보통,☐,MAT-MY-001,몰딩,무몰딩,현장시공,무몰딩도배,무몰딩 토글 ON 시 도배 인건비 추가 (공급면적 ㎡당),가성비,molding_wallpaper,5000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
B,보통,☐,MAT-MY-002,몰딩,무몰딩,현장시공,무몰딩도배,무몰딩 토글 ON 시 도배 인건비 추가 (공급면적 ㎡당),표준,molding_wallpaper,5000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
B,보통,☐,MAT-MD-008,몰딩,무몰딩,현장시공,무몰딩,몰딩 미시공 (목공·도배 추가비는 별도 라인으로 산정),고급,molding,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
B,보통,☐,MAT-MY-003,몰딩,무몰딩,현장시공,무몰딩도배,무몰딩 토글 ON 시 도배 인건비 추가 (공급면적 ㎡당),고급,molding_wallpaper,5000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
B,보통,☐,MAT-MD-006,몰딩,우드,영림,우드몰딩,영림 우드 평몰딩,고급,molding,22500,,
B,보통,☐,MAT-BB-001,걸레받이,PVC4전,현장시공,PVC4전일반,"PVC 4전 걸레받이 일반급 (자재+인건비, 공급면적 ㎡당)",가성비,baseboard,2400,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
B,보통,☐,MAT-BB-002,걸레받이,PVC4전,현장시공,PVC4전표준,"PVC 4전 걸레받이 표준급 (자재+인건비, 공급면적 ㎡당)",표준,baseboard,3500,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
B,보통,☐,MAT-BB-003,걸레받이,무걸레받이,현장시공,무걸레받이,무걸레받이 (목공·도배 추가비는 별도 라인으로 산정),고급,baseboard,0,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
B,보통,☐,MAT-EX-003,확장,고급,현장시공,고급확장,확장부 철거+이중 단열(70T+우레탄)+배관 연장+평탄화 정밀 — 샷시 별도 (m²당),고급,expansion,220000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
B,보통,☐,MAT-EP-001,확장,구청 확장공사 신고,현장시공,신고대행,도면 작성 + 구청 발코니 확장 신고 대행 (일식),가성비,기타,1000000,,시공항목 — 카테고리 대표 이미지로 등록 (예: 일반 도어/조명 사진)
